		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
	[H1 L VC] \-> (H1) L VC			2	1			1	1				2		2		1		1
	[H L1 VC] \-> (H L1) VC			1				1	2	1			1		1		1		
	[H L1 VC] \-> H (L1 VC)			1			1		2		1	1		1		1			
	[H L1 VC] \-> H (L1 V)C	1	1	1					1		1	1		1		1	1		
	[H L1 VC] \-> H (L1) VC			2	1				2			1	1	1	1	1	1		
	[H L V1C] \-> H (L V1C)			1		1	1		1	1		1		1		1			1
	[H L V1C] \-> H (L V1)C		1	1		1			1	1		1		1		1	1	1	1
	[H L V1C] \-> H L (V1C)			2		1	1		1			2		2		1			1
	[H L V1C] \-> H L (V1)C		1	2	1	1			1			2		2		1	1		1
/H L V1C/	[H1 L VC] \-> (H1 L) VC			1				1	1		1		1		1		1	1	1
	[H1 L VC] \-> (H1) L VC			2	1			1	1				2		2		1		1
	[H L1 VC] \-> (H L1) VC			1				1	2	1			1		1		1		1
	[H L1 VC] \-> H (L1 VC)			1			1		2		1	1		1		1			1
	[H L1 VC] \-> H (L1 V)C		1	1					1		1	1		1		1	1		1
	[H L1 VC] \-> H (L1) VC			2	1				2			1	1	1	1	1	1		1
	[H L V1C] \-> H (L V1C)			1		1	1		1	1		1		1		1			
	[H L V1C] \-> H (L V1)C		1	1		1			1	1		1		1		1	1	1	
	[H L V1C] \-> H L (V1C)	1		2		1	1		1			2		2		1			
	[H L V1C] \-> H L (V1)C		1	2	1	1			1			2		2		1	1		
/H1 L V:C/	[H1 L V:C] \-> (H1 L) V:C	1		1				1	1		1		1		1		1	1	
	[H1 L V:C] \-> (H1) L V:C			2	1			1	1				2		2		1		
	[H L1 V:C] \-> (H L1) V:C			1				1	1	1			1		1		1		1
	[H L1 V:C] \-> H (L1 V:C)			1			1		2		1	1		1		1			1
	[H L1 V:C] \-> H (L1 V:)C		1	1					2		1	1		1		1	1		1
	[H L1 V:C] \-> H (L1) V:C			2	1				2			1	1	1	1	1	1		1
	[H L V:1C] \-> H (L V:1C)			1		1	1		1	1		1		1		1			1
	[H L V:1C] \-> H (L V:1)C		1	1		1			1	1		1		1		1	1		1
	[H L V:1C] \-> H L (V:1C)			2		1	1		1			2		2		1			1
	[H L V:1C] \-> H L (V:1)C		1	2		1			1			2		2		1	1		1
/H L1 V:C/	[H1 L V:C] \-> (H1 L) V:C			1				1	1		1		1		1		1	1	1
	[H1 L V:C] \-> (H1) L V:C			2				1	1				2		2		1		1
	[H L1 V:C] \-> (H L1) V:C			1				1	2	1			1		1		1		
	[H L1 V:C] \-> H (L1 V:C)			1			1		2		1	1		1		1			
	[H L1 V:C] \-> H (L1 V:)C	1	1	1					2		1	1		1		1	1		
	[H L1 V:C] \-> H (L1) V:C			2	1				2			1	1	1	1	1	1		
	[H L V:1C] \-> H (L V:1C)			1		1	1		1	1		1		1		1			1
	[H L V:1C] \-> H (L V:1)C		1	1		1			1	1		1		1		1	1		1
	[H L V:1C] \-> H L (V:1C)			2		1	1		1			2		2		1			1
	[H L V:1C] \-> H L (V:1)C		1	2		1			1			2		2		1	1		1
/H L V:1C/	[H1 L V:C] \-> (H1 L) V:C			1				1	1		1		1		1		1	1	1
	[H1 L V:C] \-> (H1) L V:C			2				1	1				2		2		1		1
	[H L1 V:C] \-> (H L1) V:C			1				1	1	1			1		1		1		1
	[H L1 V:C] \-> H (L1 V:C)			1			1		2		1	1		1		1			1
	[H L1 V:C] \-> H (L1 V:)C		1	1					2		1	1		1		1	1		1
	[H L1 V:C] \-> H (L1) V:C			2	1				2			1	1	1	1	1	1		1
	[H L V:1C] \-> H (L V:1C)			1		1	1		1	1		1		1		1			
	[H L V:1C] \-> H (L V:1)C		1	1		1			1	1		1		1		1	1		
	[H L V:1C] \-> H L (V:1C)			2		1	1		1			2		2		1			
	[H L V:1C] \-> H L (V:1)C	1	1	2		1			1			2		2		1	1		
/H1 H V/	[H1 H V] \-> (H1 H) V	1		1				1	1		1		1		1		1		
	[H1 H V] \-> (H1) H V			2				1	1				2		2		1		
	[H H1 V] \-> (H H1) V			1				1	1	1			1		1		1		1
	[H H1 V] \-> H (H1 V)			1			1		1		1	1		1		1		1	1
	[H H1 V] \-> H (H1) V			2					1			1	1	1	1	1	1		1
	[H H V1] \-> H (H V1)			1		1	1		2	1		1		1		1			1
	[H H V1] \-> H H (V1)			2	1	1	1		2			2		2		1			1
/H H1 V/	[H1 H V] \-> (H1 H) V			1				1	1		1		1		1		1		1
	[H1 H V] \-> (H1) H V			2				1	1				2		2		1		1
	[H H1 V] \-> (H H1) V			1				1	1	1			1		1		1		
	[H H1 V] \-> H (H1 V)	1		1			1		1		1	1		1		1		1	
	[H H1 V] \-> H (H1) V			2					1			1	1	1	1	1	1		
	[H H V1] \-> H (H V1)			1		1	1		2	1		1		1		1			1
	[H H V1] \-> H H (V1)			2	1	1	1		2			2		2		1			1
/H H V1/	[H1 H V] \-> (H1 H) V			1				1	1		1		1		1		1		1
	[H1 H V] \-> (H1) H V			2				1	1				2		2		1		1
	[H H1 V] \-> (H H1) V			1				1	1	1			1		1		1		1
	[H H1 V] \-> H (H1 V)			1			1		1		1	1		1		1		1	1
	[H H1 V] \-> H (H1) V			2					1			1	1	1	1	1	1		1
	[H H V1] \-> H (H V1)	1		1		1	1		2	1		1		1		1			
	[H H V1] \-> H H (V1)			2	1	1	1		2			2		2		1			
/H1 H V:/	[H1 H V:] \-> (H1 H) V:	1		1				1	2		1		1		1		1		
	[H1 H V:] \-> (H1) H V:			2				1	2				2		2		1		
	[H H1 V:] \-> (H H1) V:			1				1	2	1			1		1		1		1
	[H H1 V:] \-> H (H1 V:)			1			1		2		1	1		1		1			1
	[H H1 V:] \-> H (H1) V:			2					2			1	1	1	1	1	1		1
	[H H V:1] \-> H (H V:1)			1		1	1		2	1		1		1		1			1
	[H H V:1] \-> H H (V:1)			2		1	1		2			2		2		1			1
/H H1 V:/	[H1 H V:] \-> (H1 H) V:			1				1	2		1		1		1		1		1
	[H1 H V:] \-> (H1) H V:			2				1	2				2		2		1		1
	[H H1 V:] \-> (H H1) V:			1				1	2	1			1		1		1		
	[H H1 V:] \-> H (H1 V:)	1		1			1		2		1	1		1		1			
	[H H1 V:] \-> H (H1) V:			2					2			1	1	1	1	1	1		
	[H H V:1] \-> H (H V:1)			1		1	1		2	1		1		1		1			1
	[H H V:1] \-> H H (V:1)			2		1	1		2			2		2		1			1
/H H V:1/	[H1 H V:] \-> (H1 H) V:			1				1	2		1		1		1		1		1
	[H1 H V:] \-> (H1) H V:			2				1	2				2		2		1		1
	[H H1 V:] \-> (H H1) V:			1				1	2	1			1		1		1		1
	[H H1 V:] \-> H (H1 V:)			1			1		2		1	1		1		1			1
	[H H1 V:] \-> H (H1) V:			2					2			1	1	1	1	1	1		1
	[H H V:1] \-> H (H V:1)			1		1	1		2	1		1		1		1			
	[H H V:1] \-> H H (V:1)	1		2		1	1		2			2		2		1			
/H1 H VC/	[H1 H VC] \-> (H1 H) VC	1		1				1	2		1		1		1		1		
	[H1 H VC] \-> (H1) H VC			2				1	2				2		2		1		
	[H H1 VC] \-> (H H1) VC			1				1	2	1			1		1		1		1
	[H H1 VC] \-> H (H1 VC)			1			1		1		1	1		1		1			1
	[H H1 VC] \-> H (H1 V)C		1	1					2		1	1		1		1	1	1	1
	[H H1 VC] \-> H (H1) VC			2					2			1	1	1	1	1	1		1
	[H H V1C] \-> H (H V1C)			1		1	1		2	1		1		1		1			1
	[H H V1C] \-> H (H V1)C		1	1		1			2	1		1		1		1	1		1
	[H H V1C] \-> H H (V1C)			2		1	1		2			2		2		1			1
	[H H V1C] \-> H H (V1)C		1	2	1	1			2			2		2		1	1		1
/H H1 VC/	[H1 H VC] \-> (H1 H) VC			1				1	2		1		1		1		1		1
	[H1 H VC] \-> (H1) H VC			2				1	2				2		2		1		1
	[H H1 VC] \-> (H H1) VC			1				1	2	1			1		1		1		
	[H H1 VC] \-> H (H1 VC)			1			1		2		1	1		1		1			
	[H H1 VC] \-> H (H1 V)C	1	1	1					1		1	1		1		1	1	1	
	[H H1 VC] \-> H (H1) VC			2					2			1	1	1	1	1	1		
	[H H V1C] \-> H (H V1C)			1		1	1		2	1		1		1		1			1
	[H H V1C] \-> H (H V1)C		1	1		1			2	1		1		1		1	1		1
	[H H V1C] \-> H H (V1C)			2		1	1		2			2		2		1			1
	[H H V1C] \-> H H (V1)C		1	2	1	1			2			2		2		1	1		1
/H H V1C/	[H1 H VC] \-> (H1 H) VC			1				1	2		1		1		1		1		1
	[H1 H VC] \-> (H1) H VC			2				1	2				2		2		1		1
	[H H1 VC] \-> (H H1) VC			1				1	2	1			1		1		1		1
	[H H1 VC] \-> H (H1 VC)			1			1		2		1	1		1		1			1
	[H H1 VC] \-> H (H1 V)C		1	1					1		1	1		1		1	1	1	1
	[H H1 VC] \-> H (H1) VC			2					2			1	1	1	1	1	1		1
	[H H V1C] \-> H (H V1C)			1		1	1		2	1		1		1		1			
	[H H V1C] \-> H (H V1)C		1	1		1			2	1		1		1		1	1		
	[H H V1C] \-> H H (V1C)	1		2		1	1		2			2		2		1			
	[H H V1C] \-> H H (V1)C		1	2	1	1			2			2		2		1	1		
/H1 H V:C/	[H1 H V:C] \-> (H1 H) V:C	1		1				1	2		1		1		1		1		
	[H1 H V:C] \-> (H1) H V:C			2				1	2				2		2		1		
	[H H1 V:C] \-> (H H1) V:C			1				1	2	1			1		1		1		1
	[H H1 V:C] \-> H (H1 V:C)			1			1		2		1	1		1		1			1
	[H H1 V:C] \-> H (H1 V:)C		1	1					2		1	1		1		1	1		1
	[H H1 V:C] \-> H (H1) V:C			2					2			1	1	1	1	1	1		1
	[H H V:1C] \-> H (H V:1C)			1		1	1		2	1		1		1		1			1
	[H H V:1C] \-> H (H V:1)C		1	1		1			2	1		1		1		1	1		1
	[H H V:1C] \-> H H (V:1C)			2		1	1		2			2		2		1			1
	[H H V:1C] \-> H H (V:1)C		1	2		1			2			2		2		1	1		1
/H H1 V:C/	[H1 H V:C] \-> (H1 H) V:C			1				1	2		1		1		1		1		1
	[H1 H V:C] \-> (H1) H V:C			2				1	2				2		2		1		1
	[H H1 V:C] \-> (H H1) V:C			1				1	2	1			1		1		1		
	[H H1 V:C] \-> H (H1 V:C)			1			1		2		1	1		1		1			
	[H H1 V:C] \-> H (H1 V:)C	1	1	1					2		1	1		1		1	1		
	[H H1 V:C] \-> H (H1) V:C			2					2			1	1	1	1	1	1		
	[H H V:1C] \-> H (H V:1C)			1		1	1		2	1		1		1		1			1
	[H H V:1C] \-> H (H V:1)C		1	1		1			2	1		1		1		1	1		1
	[H H V:1C] \-> H H (V:1C)			2		1	1		2			2		2		1			1
	[H H V:1C] \-> H H (V:1)C		1	2		1			2			2		2		1	1		1
/H H V:1C/	[H1 H V:C] \-> (H1 H) V:C			1				1	2		1		1		1		1		1
	[H1 H V:C] \-> (H1) H V:C			2				1	2				2		2		1		1
	[H H1 V:C] \-> (H H1) V:C			1				1	2	1			1		1		1		1
	[H H1 V:C] \-> H (H1 V:C)			1			1		2		1	1		1		1			1
	[H H1 V:C] \-> H (H1 V:)C		1	1					2		1	1		1		1	1		1
	[H H1 V:C] \-> H (H1) V:C			2					2			1	1	1	1	1	1		1
	[H H V:1C] \-> H (H V:1C)			1		1	1		2	1		1		1		1			
	[H H V:1C] \-> H (H V:1)C		1	1		1			2	1		1		1		1	1		
	[H H V:1C] \-> H H (V:1C)			2		1	1		2			2		2		1			
	[H H V:1C] \-> H H (V:1)C	1	1	2		1			2			2		2		1	1		
/H H H V:1/	[H1 H H V:] \-> (H1) H H V:	1	0	3	0	0	0	1	3	0	0	0	3	0	3	0	1	0	1
	[H H1 H V:] \-> H (H1) H V:		0	3	0	0	0	0	3	0	0	1	2	1	2	1	1	0	1
	[H H H1 V:] \-> H H (H1) V:		0	3	0	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H H V:1] \-> H H H (V:1)		0	3	0	1	1	0	3	0	0	3	0	3	0	1	0	0	1
	[H1 H H V:] \-> (H1 H) H V:		0	2	0	0	0	1	3	0	1	0	2	0	3	0	1	0	1
	[H H1 H V:] \-> (H H1) H V:		0	2	0	0	0	1	2	1	0	0	2	1	2	0	1	0	1
	[H H1 H V:] \-> H (H1 H) V:		0	2	0	0	0	0	3	0	1	1	1	1	2	1	1	0	1
	[H H H1 V:] \-> H (H H1) V:		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H H1 V:] \-> H H (H1 V:)		0	2	0	0	1	0	3	0	1	2	0	2	1	1	0	0	1
	[H H H V:1] \-> H H H (V:1)		0	3	0	1	1	0	3	0	0	3	0	3	0	1	0	0	1
/H H H V:1C/	[H1 H H V:C] \-> (H1) H H V:C	1	0	3	0	0	0	1	3	0	0	0	3	0	3	0	1	0	1
	[H H1 H V:C] \-> H (H1) H V:C		0	3	0	0	0	0	3	0	0	1	2	1	2	1	1	0	1
	[H H H1 V:C] \-> H H (H1) V:C		0	3	0	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H H V:1C] \-> H H H (V:1C)		0	3	0	1	1	0	3	0	0	3	0	3	0	1	0	0	1
	[H H H V:1C] \-> H H H (V:1)C		1	3	0	1	0	0	3	0	0	3	0	3	0	1	1	0	1
	[H1 H H V:C] \-> (H1 H) H V:C		0	2	0	0	0	1	3	0	1	0	2	0	3	0	1	0	1
	[H H1 H V:C] \-> (H H1) H V:C		0	2	0	0	0	1	2	1	0	0	2	1	2	0	1	0	1
	[H H1 H V:C] \-> H (H1 H) V:C		0	2	0	0	0	0	3	0	1	1	1	1	2	1	1	0	1
	[H H H1 V:C] \-> H (H H1) V:C		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H H1 V:C] \-> H H (H1 V:C)		0	2	0	0	1	0	3	0	0	2	0	2	1	1	0	0	1
	[H H H1 V:C] \-> H H (H1 V:)C		1	2	0	0	0	0	3	0	1	2	0	2	1	1	1	0	1
	[H H H V:1C] \-> H H (H V:1C)		0	2	0	1	1	0	2	1	0	2	0	3	0	1	0	0	1
	[H H H V:1C] \-> H H (H V:1)C		1	2	0	1	0	0	2	1	0	2	0	3	0	1	1	0	1
/H H H V1C/	[H1 H H VC] \-> (H1) H H VC	1	0	3	0	0	0	1	3	0	0	0	3	0	3	0	1	0	1
	[H H1 H VC] \-> H (H1) H VC		0	3	0	0	0	0	3	0	0	1	2	1	2	1	1	0	1
	[H H H1 VC] \-> H H (H1) VC		0	3	0	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H H V1C] \-> H H H (V1C)		0	3	0	1	1	0	3	0	0	3	0	3	0	1	0	0	1
	[H H H V1C] \-> H H H (V1)C		1	3	1	1	0	0	3	0	0	3	0	3	0	1	1	0	1
	[H1 H H VC] \-> (H1 H) H VC		0	2	0	0	0	1	3	0	1	0	2	0	3	0	1	0	1
	[H H1 H VC] \-> (H H1) H VC		0	2	0	0	0	1	2	1	0	0	2	1	2	0	1	0	1
	[H H1 H VC] \-> H (H1 H) VC		0	2	0	0	0	0	3	0	1	1	1	1	2	1	1	0	1
	[H H H1 VC] \-> H (H H1) VC		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H H1 VC] \-> H H (H1 VC)		0	2	0	0	1	0	3	0	0	2	0	2	1	1	0	0	1
	[H H H1 VC] \-> H H (H1 V)C		1	2	0	0	0	0	2	0	1	2	0	2	1	1	1	1	1
	[H H H V1C] \-> H H (H V1C)		0	2	0	1	1	0	2	1	0	2	0	3	0	1	0	0	1
	[H H H V1C] \-> H H (H V1)C		1	2	0	1	0	0	2	1	0	2	0	3	0	1	1	0	1
/H H H1 V/	[H1 H H V] \-> (H1) H H V	1	0	3	0	0	0	1	2	0	0	0	3	0	3	0	1	0	1
	[H H1 H V] \-> H (H1) H V		0	3	0	0	0	0	2	0	0	1	2	1	2	1	1	0	1
	[H H H1 V] \-> H H (H1) V		0	3	0	0	0	0	2	0	0	2	1	2	1	1	1	0	1
	[H H H V1] \-> H H H (V1)		0	3	1	1	1	0	3	0	0	3	0	3	0	1	0	0	1
	[H1 H H V] \-> (H1 H) H V		0	2	0	0	0	1	2	0	1	0	2	0	3	0	1	0	1
	[H H1 H V] \-> (H H1) H V		0	2	0	0	0	1	1	1	0	0	2	1	2	0	1	0	1
	[H H1 H V] \-> H (H1 H) V		0	2	0	0	0	0	2	0	1	1	1	1	2	1	1	0	1
	[H H H1 V] \-> H (H H1) V		0	2	0	0	0	0	1	1	0	1	1	2	1	1	1	0	1
	[H H H1 V] \-> H H (H1 V)		0	2	0	0	1	0	2	0	1	2	0	2	1	1	0	1	1
	[H H H V1] \-> H H H (V1)		0	3	1	1	1	0	3	0	0	3	0	3	0	1	0	0	1
/H H H1 V:/	[H1 H H V:] \-> (H1) H H V:	1	0	3	0	0	0	1	3	0	0	0	3	0	3	0	1	0	1
	[H H1 H V:] \-> H (H1) H V:		0	3	0	0	0	0	3	0	0	1	2	1	2	1	1	0	1
	[H H H1 V:] \-> H H (H1) V:		0	3	0	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H H V:1] \-> H H H (V:1)		0	3	0	1	1	0	3	0	0	3	0	3	0	1	0	0	1
	[H1 H H V:] \-> (H1 H) H V:		0	2	0	0	0	1	3	0	1	0	2	0	3	0	1	0	1
	[H H1 H V:] \-> (H H1) H V:		0	2	0	0	0	1	2	1	0	0	2	1	2	0	1	0	1
	[H H1 H V:] \-> H (H1 H) V:		0	2	0	0	0	0	3	0	1	1	1	1	2	1	1	0	1
	[H H H1 V:] \-> H (H H1) V:		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H H1 V:] \-> H H (H1 V:)		0	2	0	0	1	0	3	0	1	2	0	2	1	1	0	0	1
	[H H H V:1] \-> H H H (V:1)		0	3	0	1	1	0	3	0	0	3	0	3	0	1	0	0	1
/H H H1 V:C/	[H1 H H V:C] \-> (H1) H H V:C	1	0	3	0	0	0	1	3	0	0	0	3	0	3	0	1	0	1
	[H H1 H V:C] \-> H (H1) H V:C		0	3	0	0	0	0	3	0	0	1	2	1	2	1	1	0	1
	[H H H1 V:C] \-> H H (H1) V:C		0	3	0	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H H V:1C] \-> H H H (V:1C)		0	3	0	1	1	0	3	0	0	3	0	3	0	1	0	0	1
	[H H H V:1C] \-> H H H (V:1)C		1	3	0	1	0	0	3	0	0	3	0	3	0	1	1	0	1
	[H1 H H V:C] \-> (H1 H) H V:C		0	2	0	0	0	1	3	0	1	0	2	0	3	0	1	0	1
	[H H1 H V:C] \-> (H H1) H V:C		0	2	0	0	0	1	2	1	0	0	2	1	2	0	1	0	1
	[H H1 H V:C] \-> H (H1 H) V:C		0	2	0	0	0	0	3	0	1	1	1	1	2	1	1	0	1
	[H H H1 V:C] \-> H (H H1) V:C		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H H1 V:C] \-> H H (H1 V:C)		0	2	0	0	1	0	3	0	0	2	0	2	1	1	0	0	1
	[H H H1 V:C] \-> H H (H1 V:)C		1	2	0	0	0	0	3	0	1	2	0	2	1	1	1	0	1
	[H H H V:1C] \-> H H (H V:1C)		0	2	0	1	1	0	2	1	0	2	0	3	0	1	0	0	1
	[H H H V:1C] \-> H H (H V:1)C		1	2	0	1	0	0	2	1	0	2	0	3	0	1	1	0	1
/H H H1 VC/	[H1 H H VC] \-> (H1) H H VC	1	0	3	0	0	0	1	3	0	0	0	3	0	3	0	1	0	1
	[H H1 H VC] \-> H (H1) H VC		0	3	0	0	0	0	3	0	0	1	2	1	2	1	1	0	1
	[H H H1 VC] \-> H H (H1) VC		0	3	0	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H H V1C] \-> H H H (V1C)		0	3	0	1	1	0	3	0	0	3	0	3	0	1	0	0	1
	[H H H V1C] \-> H H H (V1)C		1	3	1	1	0	0	3	0	0	3	0	3	0	1	1	0	1
	[H1 H H VC] \-> (H1 H) H VC		0	2	0	0	0	1	3	0	1	0	2	0	3	0	1	0	1
	[H H1 H VC] \-> (H H1) H VC		0	2	0	0	0	1	2	1	0	0	2	1	2	0	1	0	1
	[H H1 H VC] \-> H (H1 H) VC		0	2	0	0	0	0	3	0	1	1	1	1	2	1	1	0	1
	[H H H1 VC] \-> H (H H1) VC		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H H1 VC] \-> H H (H1 VC)		0	2	0	0	1	0	3	0	0	2	0	2	1	1	0	0	1
	[H H H1 VC] \-> H H (H1 V)C		1	2	0	0	0	0	2	0	1	2	0	2	1	1	1	1	1
	[H H H V1C] \-> H H (H V1C)		0	2	0	1	1	0	2	1	0	2	0	3	0	1	0	0	1
	[H H H V1C] \-> H H (H V1)C		1	2	0	1	0	0	2	1	0	2	0	3	0	1	1	0	1
/H H L V:1/	[H1 H L V:] \-> (H1) H L V:	1	0	3	0	0	0	1	2	0	0	0	3	0	3	0	1	0	1
	[H H1 L V:] \-> H (H1) L V:		0	3	0	0	0	0	2	0	0	1	2	1	2	1	1	0	1
	[H H L1 V:] \-> H H (L1) V:		0	3	1	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H L V:1] \-> H H L (V:1)		0	3	0	1	1	0	2	0	0	3	0	3	0	1	0	0	1
	[H1 H L V:] \-> (H1 H) L V:		0	2	0	0	0	1	2	0	1	0	2	0	3	0	1	0	1
	[H H1 L V:] \-> (H H1) L V:		0	2	0	0	0	1	1	1	0	0	2	1	2	0	1	0	1
	[H H1 L V:] \-> H (H1 L) V:		0	2	0	0	0	0	2	0	1	1	1	1	2	1	1	1	1
	[H H L1 V:] \-> H (H L1) V:		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H L1 V:] \-> H H (L1 V:)		0	2	0	0	1	0	3	0	1	2	0	2	1	1	0	0	1
	[H H L V:1] \-> H H L (V:1)		0	3	0	1	1	0	2	0	0	3	0	3	0	1	0	0	1
/H H L V:1C/	[H1 H L V:C] \-> (H1) H L V:C	1	0	3	0	0	0	1	2	0	0	0	3	0	3	0	1	0	1
	[H H1 L V:C] \-> H (H1) L V:C		0	3	0	0	0	0	2	0	0	1	2	1	2	1	1	0	1
	[H H L1 V:C] \-> H H (L1) V:C		0	3	1	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H L V:1C] \-> H H L (V:1C)		0	3	0	1	1	0	2	0	0	3	0	3	0	1	0	0	1
	[H H L V:1C] \-> H H L (V:1)C		1	3	0	1	0	0	2	0	0	3	0	3	0	1	1	0	1
	[H1 H L V:C] \-> (H1 H) L V:C		0	2	0	0	0	1	2	0	1	0	2	0	3	0	1	0	1
	[H H1 L V:C] \-> (H H1) L V:C		0	2	0	0	0	1	1	1	0	0	2	1	2	0	1	0	1
	[H H1 L V:C] \-> H (H1 L) V:C		0	2	0	0	0	0	2	0	1	1	1	1	2	1	1	1	1
	[H H L1 V:C] \-> H (H L1) V:C		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H L1 V:C] \-> H H (L1 V:C)		0	2	0	0	1	0	3	0	0	2	0	2	1	1	0	0	1
	[H H L1 V:C] \-> H H (L1 V:)C		1	2	0	0	0	0	3	0	1	2	0	2	1	1	1	0	1
	[H H L V:1C] \-> H H (L V:1C)		0	2	0	1	1	0	2	1	0	2	0	3	0	1	0	0	1
	[H H L V:1C] \-> H H (L V:1)C		1	2	0	1	0	0	2	1	0	2	0	3	0	1	1	0	1
/H H L V1C/	[H1 H L VC] \-> (H1) H L VC	1	0	3	0	0	0	1	2	0	0	0	3	0	3	0	1	0	1
	[H H1 L VC] \-> H (H1) L VC		0	3	0	0	0	0	2	0	0	1	2	1	2	1	1	0	1
	[H H L1 VC] \-> H H (L1) VC		0	3	1	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H L V1C] \-> H H L (V1C)		0	3	0	1	1	0	2	0	0	3	0	3	0	1	0	0	1
	[H H L V1C] \-> H H L (V1)C		1	3	1	1	0	0	2	0	0	3	0	3	0	1	1	0	1
	[H1 H L VC] \-> (H1 H) L VC		0	2	0	0	0	1	2	0	1	0	2	0	3	0	1	0	1
	[H H1 L VC] \-> (H H1) L VC		0	2	0	0	0	1	1	1	0	0	2	1	2	0	1	0	1
	[H H1 L VC] \-> H (H1 L) VC		0	2	0	0	0	0	2	0	1	1	1	1	2	1	1	1	1
	[H H L1 VC] \-> H (H L1) VC		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H L1 VC] \-> H H (L1 VC)		0	2	0	0	1	0	3	0	0	2	0	2	1	1	0	0	1
	[H H L1 VC] \-> H H (L1 V)C		1	2	0	0	0	0	2	0	1	2	0	2	1	1	1	0	1
	[H H L V1C] \-> H H (L V1C)		0	2	0	1	1	0	2	1	0	2	0	3	0	1	0	0	1
	[H H L V1C] \-> H H (L V1)C		1	2	0	1	0	0	2	1	0	2	0	3	0	1	1	1	1
/H H L1 V/	[H1 H L V] \-> (H1) H L V	1	0	3	0	0	0	1	1	0	0	0	3	0	3	0	1	0	1
	[H H1 L V] \-> H (H1) L V		0	3	0	0	0	0	1	0	0	1	2	1	2	1	1	0	1
	[H H L1 V] \-> H H (L1) V		0	3	1	0	0	0	2	0	0	2	1	2	1	1	1	0	1
	[H H L V1] \-> H H L (V1)		0	3	1	1	1	0	2	0	0	3	0	3	0	1	0	0	1
	[H1 H L V] \-> (H1 H) L V		0	2	0	0	0	1	1	0	1	0	2	0	3	0	1	0	1
	[H H1 L V] \-> (H H1) L V		0	2	0	0	0	1	0	1	0	0	2	1	2	0	1	0	1
	[H H1 L V] \-> H (H1 L) V		0	2	0	0	0	0	1	0	1	1	1	1	2	1	1	1	1
	[H H L1 V] \-> H (H L1) V		0	2	0	0	0	0	1	1	0	1	1	2	1	1	1	0	1
	[H H L1 V] \-> H H (L1 V)		0	2	0	0	1	0	2	0	1	2	0	2	1	1	0	0	1
	[H H L V1] \-> H H L (V1)		0	3	1	1	1	0	2	0	0	3	0	3	0	1	0	0	1
/H H L1 V:/	[H1 H L V:] \-> (H1) H L V:	1	0	3	0	0	0	1	2	0	0	0	3	0	3	0	1	0	1
	[H H1 L V:] \-> H (H1) L V:		0	3	0	0	0	0	2	0	0	1	2	1	2	1	1	0	1
	[H H L1 V:] \-> H H (L1) V:		0	3	1	0	0	0	3	0	0	2	1	2	1	1	1	0	1
	[H H L V:1] \-> H H L (V:1)		0	3	0	1	1	0	2	0	0	3	0	3	0	1	0	0	1
	[H1 H L V:] \-> (H1 H) L V:		0	2	0	0	0	1	2	0	1	0	2	0	3	0	1	0	1
	[H H1 L V:] \-> (H H1) L V:		0	2	0	0	0	1	1	1	0	0	2	1	2	0	1	0	1
	[H H1 L V:] \-> H (H1 L) V:		0	2	0	0	0	0	2	0	1	1	1	1	2	1	1	1	1
	[H H L1 V:] \-> H (H L1) V:		0	2	0	0	0	0	2	1	0	1	1	2	1	1	1	0	1
	[H H L1 V:] \-> H H (L1 V:)		0	2	0	0	1	0	3	0	1	2	0	2	1	1	0	0	1
	[H H L V:1] \-> H H L (V:1)		0	3	0	1	1	0	2	0	0	3	0	3	0	1	0	0	1
