		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
	[L H V:1C] \-> L H (V:1)C		1	2		1			1			2		2		1	1		1
/L H1 V:C/	[L1 H V:C] \-> (L1 H) V:C			1				1	2		1		1		1		1		1
	[L1 H V:C] \-> (L1) H V:C			2				1	2				2		2		1		1
	[L H1 V:C] \-> (L H1) V:C			1				1	1	1			1		1		1		
	[L H1 V:C] \-> L (H1 V:C)			1			1		1		1	1		1		1			
	[L H1 V:C] \-> L (H1 V:)C	1	1	1					1		1	1		1		1	1		
	[L H1 V:C] \-> L (H1) V:C			2					1			1	1	1	1	1	1		
	[L H V:1C] \-> L (H V:1C)			1		1	1		1	1		1		1		1			1
	[L H V:1C] \-> L (H V:1)C		1	1		1			1	1		1		1		1	1		1
	[L H V:1C] \-> L H (V:1C)			2		1	1		1			2		2		1			1
	[L H V:1C] \-> L H (V:1)C		1	2		1			1			2		2		1	1		1
/L H V:1C/	[L1 H V:C] \-> (L1 H) V:C			1				1	2		1		1		1		1		1
	[L1 H V:C] \-> (L1) H V:C			2				1	2				2		2		1		1
	[L H1 V:C] \-> (L H1) V:C			1				1	1	1			1		1		1		1
	[L H1 V:C] \-> L (H1 V:C)			1			1		1		1	1		1		1			1
	[L H1 V:C] \-> L (H1 V:)C		1	1					1		1	1		1		1	1		1
	[L H1 V:C] \-> L (H1) V:C			2					1			1	1	1	1	1	1		1
	[L H V:1C] \-> L (H V:1C)			1		1	1		1	1		1		1		1			
	[L H V:1C] \-> L (H V:1)C		1	1		1			1	1		1		1		1	1		
	[L H V:1C] \-> L H (V:1C)			2		1	1		1			2		2		1			
	[L H V:1C] \-> L H (V:1)C	1	1	2		1			1			2		2		1	1		
/H1 L V/	[H1 L V] \-> (H1 L) V	1		1				1			1		1		1		1	1	
	[H1 L V] \-> (H1) L V			2				1					2		2		1		
	[H L1 V] \-> (H L1) V			1				1	1	1			1		1		1		1
	[H L1 V] \-> H (L1 V)			1			1		1		1	1		1		1			1
	[H L1 V] \-> H (L1) V			2	1				1			1	1	1	1	1	1		1
	[H L V1] \-> H (L V1)			1		1	1		1	1		1		1		1		1	1
	[H L V1] \-> H L (V1)			2	1	1	1		1			2		2		1			1
/H L1 V/	[H1 L V] \-> (H1 L) V			1				1			1		1		1		1	1	1
	[H1 L V] \-> (H1) L V			2				1					2		2		1		1
	[H L1 V] \-> (H L1) V			1				1	1	1			1		1		1		
	[H L1 V] \-> H (L1 V)	1		1			1		1		1	1		1		1		1	
	[H L1 V] \-> H (L1) V			2	1				1			1	1	1	1	1	1		
	[H L V1] \-> H (L V1)			1		1	1		1	1		1		1		1		1	1
	[H L V1] \-> H L (V1)			2	1	1	1		1			2		2		1			1
/H L V1/	[H1 L V] \-> (H1 L) V			1				1			1		1		1		1	1	1
	[H1 L V] \-> (H1) L V			2				1					2		2		1		1
	[H L1 V] \-> (H L1) V			1				1	1	1			1		1		1		1
	[H L1 V] \-> H (L1 V)			1			1		1		1	1		1		1			1
	[H L1 V] \-> H (L1) V			2	1				1			1	1	1	1	1	1		1
	[H L V1] \-> H (L V1)	1		1		1	1		1	1		1		1		1		1	
	[H L V1] \-> H L (V1)			2	1	1	1		1			2		2		1			
/H1 L V:/	[H1 L V:] \-> (H1 L) V:	1		1				1	1		1		1		1		1	1	
	[H1 L V:] \-> (H1) L V:			2				1	1				2		2		1		
	[H L1 V:] \-> (H L1) V:			1				1	1	1			1		1		1		1
	[H L1 V:] \-> H (L1 V:)			1			1		2		1	1		1		1			1
	[H L1 V:] \-> H (L1) V:			2	1				2			1	1	1	1	1	1		1
	[H L V:1] \-> H (L V:1)			1		1	1		1	1		1		1		1			1
	[H L V:1] \-> H L (V:1)			2	1	1	1		1			2		2		1			1
/H L1 V:/	[H1 L V:] \-> (H1 L) V:			1				1	1		1		1		1		1	1	1
	[H1 L V:] \-> (H1) L V:			2				1	1				2		2		1		1
	[H L1 V:] \-> (H L1) V:			1				1	2	1			1		1		1		
	[H L1 V:] \-> H (L1 V:)	1		1			1		2		1	1		1		1			
	[H L1 V:] \-> H (L1) V:			2	1				2			1	1	1	1	1	1		
	[H L V:1] \-> H (L V:1)			1		1	1		1	1		1		1		1			1
	[H L V:1] \-> H L (V:1)			2		1	1		1			2		2		1			1
/H L V:1/	[H1 L V:] \-> (H1 L) V:			1				1	1		1		1		1		1	1	1
	[H1 L V:] \-> (H1) L V:			2				1	1				2		2		1		1
	[H L1 V:] \-> (H L1) V:			1				1	2	1			1		1		1		1
	[H L1 V:] \-> H (L1 V:)			1			1		2		1	1		1		1			1
	[H L1 V:] \-> H (L1) V:			2	1				2			1	1	1	1	1	1		1
	[H L V:1] \-> H (L V:1)			1		1	1		1	1		1		1		1			
	[H L V:1] \-> H L (V:1)	1		2		1	1		1			2		2		1			
/H1 L VC/	[H1 L VC] \-> (H1 L) VC	1		1				1	1		1		1		1		1	1	
	[H1 L VC] \-> (H1) L VC			2				1	1				2		2		1		
	[H L1 VC] \-> (H L1) VC			1				1	2	1			1		1		1		1
	[H L1 VC] \-> H (L1 VC)			1			1		2		1	1		1		1			1
	[H L1 VC] \-> H (L1 V)C		1	1					1		1	1		1		1	1		1
	[H L1 VC] \-> H (L1) VC			2	1				2			1	1	1	1	1	1		1
	[H L V1C] \-> H (L V1C)			1		1	1		1	1		1		1		1			1
	[H L V1C] \-> H (L V1)C		1	1		1			1	1		1		1		1	1	1	1
	[H L V1C] \-> H L (V1C)			2		1	1		1			2		2		1			1
	[H L V1C] \-> H L (V1)C		1	2	1	1			1			2		2		1	1		1
/H L1 VC/	[H1 L VC] \-> (H1 L) VC			1				1	1		1		1		1		1	1	1
